ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
MSFT,2024-10-30,1,long,6.25,-7.107262881731416,-1.9603270710940985,-5.146935810637317,False
MSFT,2024-10-30,3,long,6.25,-6.624918725073176,-1.758615019840749,-4.8663037052324265,False
MSFT,2024-10-30,5,long,6.25,-3.945692441613644,1.9016697935908675,-5.847362235204512,False
MSFT,2024-10-30,10,long,6.25,-2.7980958927133446,2.961999703285868,-5.760095595999212,False
MSFT,2024-01-30,1,long,5.83,-3.5608619800211065,-1.6317298187282712,-1.9291321612928354,False
MSFT,2024-01-30,3,long,5.83,-0.2522744346526562,0.7048437607296223,-0.9571181953822786,False
MSFT,2024-01-30,5,long,5.83,-1.6421815011026555,0.6294541406959901,-2.2716356417986456,False
MSFT,2024-01-30,10,long,5.83,-1.4408436938259974,0.6498314401289073,-2.0906751339549046,False
MSFT,2023-10-24,1,long,12.85,2.8282456026789733,-1.4352175181991342,4.263463120878107,True
MSFT,2023-10-24,3,long,12.85,-0.44972658048977937,-3.0569283650236234,2.6072017845338435,True
MSFT,2023-10-24,5,long,12.85,2.055545789838688,-1.2817672429778495,3.337313032816538,True
MSFT,2023-10-24,10,long,12.85,8.822812011014113,3.139521134362226,5.683290876651887,True
MSFT,2023-07-25,1,long,5.59,-2.690776283109235,0.01536629643257727,-2.7061425795418126,False
MSFT,2023-07-25,3,long,5.59,-2.517928932517752,0.3249607483046431,-2.842889680822395,False
MSFT,2023-07-25,5,long,5.59,-3.1027559271256684,0.22835079610596543,-3.331106723231634,False
MSFT,2023-07-25,10,long,5.59,-6.0672402089514295,-1.4689208156360771,-4.598319393315352,False
MSFT,2023-04-25,1,long,9.77,5.674178252044825,-0.42355025312272154,6.097728505167548,True
MSFT,2023-04-25,3,long,9.77,9.9280591290144,2.4256266528885604,7.502432476125841,True
MSFT,2023-04-25,5,long,9.77,9.266191079512472,1.17218811363439,8.094002965878083,True
MSFT,2023-04-25,10,long,9.77,9.835056933062063,1.1943437708319407,8.640713162230123,True
AMZN,2025-10-30,1,long,25.2,7.557475489570181,0.3280280610715475,7.229447428498633,True
AMZN,2025-10-30,3,long,25.2,9.803580553585057,-0.6751617477205074,10.478742301305562,True
AMZN,2025-10-30,5,long,25.2,7.037785563005372,-1.4003448402892498,8.438130403294622,True
AMZN,2025-10-30,10,long,25.2,4.633138547333159,-1.1458770493401877,5.7790155966733465,True
AMZN,2025-07-31,1,long,27.19,-8.915470115600357,-1.6390369519761423,-7.276433163624213,False
AMZN,2025-07-31,3,long,27.19,-9.339612280370552,-0.6502354293976684,-8.689376850972884,False
AMZN,2025-07-31,5,long,27.19,-5.361156703819447,0.026896756963942375,-5.388053460783389,False
AMZN,2025-07-31,10,long,27.19,-2.031644593510902,2.036139035783399,-4.0677836292943015,False
AMZN,2025-05-01,1,long,16.77,-0.3409794568662068,1.4844129127253551,-1.8253923695915621,False
AMZN,2025-05-01,3,long,16.77,-2.948124761068645,0.059085125692688804,-3.007209886761334,False
