senator,ticker,owner,trade_date,amount,ret_3d,ret_5d,ret_10d,ret_20d
Pat Roberts,AAPL,Spouse,2020-09-03,32500.5,-1.3236930171413142,-4.06579056480143,-7.730404242002975,-3.545209457650011
Pat Roberts,AAPL,Spouse,2020-09-02,75000.5,-7.293493424494701,-6.9737279132401575,-9.91611794266025,-5.720090222407226
Pat Roberts,W,Spouse,2020-09-16,32500.5,15.536784007438253,10.997413046936245,8.9624793920143,6.165539699866485
Pat Roberts,AAPL,Spouse,2020-09-09,32500.5,-1.2792313616539763,-4.138358450159241,-4.027062377927482,-2.5962547190163776
Pat Roberts,ZM,Spouse,2020-09-09,32500.5,3.9484494991215313,5.038443177436558,33.123416678552275,22.65708548572387
Pat Roberts,MSFT,Spouse,2020-09-03,32500.5,-1.1443951657469809,-2.826436502574525,-3.8974333605256595,-2.1556331090303305
Pat Roberts,AAPL,Spouse,2020-09-03,32500.5,-1.3236930171413142,-4.06579056480143,-7.730404242002975,-3.545209457650011
Ron L Wyden,AAPL,Spouse,2020-09-02,75000.5,-7.293493424494701,-6.9737279132401575,-9.91611794266025,-5.720090222407226
Ron L Wyden,AMZN,Spouse,2020-09-01,32500.5,-2.999721822578461,-2.954615700830731,-8.124042231992034,-5.371177708885988
Ron L Wyden,AAPL,Spouse,2020-08-27,75000.5,6.109517032252931,-2.4597376669427407,-6.310516903692864,-4.934159286764139
Ron L Wyden,UPS,Spouse,2020-08-25,75000.5,0.21025544958519493,-0.1944407294278916,1.7361172716422124,7.444858707604485
Ron L Wyden,FDX,Spouse,2020-08-25,32500.5,1.6643100815073808,2.738471602228598,6.897626159070979,18.83874815965431
Ron L Wyden,W,Spouse,2020-08-24,75000.5,-3.56281722780063,-14.123766963110207,-22.588542415358912,-6.714279780020348
Ron L Wyden,AMWD,Spouse,2020-08-24,8000.5,-9.96524748683858,-9.89368180051624,-12.030732245134779,-15.635408277708951
"Angus S King, Jr.",VZ,Spouse,2020-08-18,8000.5,-0.5690938423664305,-1.2126846018831294,-4.156180392583575,1.9576481562112003
"A. Mitchell Mcconnell, Jr.",WFC,Spouse,2020-09-02,8000.5,4.40452631197501,4.1329862756126055,8.309080748732168,1.2879215065954348
Patrick J Toomey,TSLA,Child,2020-08-28,8000.5,-0.9714571005187134,-3.21804478099883,-1.7520352878645955,-0.5587255922014922
Patrick J Toomey,AAPL,Child,2020-08-27,8000.5,6.109517032252931,-2.4597376669427407,-6.310516903692864,-4.934159286764139
"Jerry Moran,",KR,Spouse,2020-08-21,8000.5,-1.1020420741136405,-4.968392253054132,-2.1354982826143787,-3.5231057916794373
"Jerry Moran,",CVX,Spouse,2020-08-21,8000.5,-2.735676949465826,-2.6232925206085334,-4.612600385387299,-7.020200660588992
"Jerry Moran,",KR,Self,2020-08-21,8000.5,-1.1020420741136405,-4.968392253054132,-2.1354982826143787,-3.5231057916794373
"Jerry Moran,",USB,Self,2020-08-21,8000.5,0.4854913258451443,2.3820957732086034,7.894085513325955,5.997614971846932
"Jerry Moran,",JNJ,Self,2020-08-21,8000.5,-2.0206312548881167,-2.0242342277063674,-2.992576193389529,-1.0827058791432864
"Jerry Moran,",INTC,Self,2020-08-21,8000.5,-1.8351664460142247,-0.9361077624202352,0.7131676096812978,4.192360658100814
"Jerry Moran,",GILD,Self,2020-08-21,8000.5,-3.7364668308013993,-5.134407756158055,-1.6470865843674853,0.8675666746486344
"Jerry Moran,",CVS,Self,2020-08-21,8000.5,-4.322401147149424,-4.411427925343658,-6.696901400650878,-4.6298166888747545
"Jerry Moran,",CVX,Self,2020-08-21,8000.5,-2.735676949465826,-2.6232925206085334,-4.612600385387299,-7.020200660588992
"Jerry Moran,",BAC,Self,2020-08-21,8000.5,-0.061205186632395936,2.0144857173735042,6.074879526524457,1.9402301263953925
Thomas R Carper,LDP,Spouse,2020-08-21,8000.5,-1.293871200789054,-3.0183704873930184,-0.9102190947971156,5.7045139316319275
Thomas R Carper,LDP,Spouse,2020-08-06,8000.5,-0.1239703885840493,-1.5787006821282423,-1.158318532368674,-3.619358832838915
Pat Roberts,BA,Spouse,2020-08-05,32500.5,1.901695521257718,-0.9393107886213059,-4.416381515533907,-7.418421706463851
Pat Roberts,WMT,Spouse,2020-08-19,8000.5,-2.5028898773365005,-4.357540171987717,5.462344427754108,3.6446042256125133
Pat Roberts,GOLD,Spouse,2020-08-18,8000.5,1.0900259241824362,4.760008344993749,3.8169440244711916,47.716679826459796
Pat Roberts,BBY,Spouse,2020-08-18,8000.5,2.900710534836959,0.29997997442861024,-1.4260283630476156,-2.665652676087138
Pat Roberts,GLD,Spouse,2020-08-18,32500.5,-3.5161800383246566,-5.316796928604106,-5.785672906881755,-2.2903615399109567
Pat Roberts,NVAX,Spouse,2020-08-17,8000.5,-8.08224018589474,-24.80291269985212,-32.42918357247059,-29.724320180670652
Pat Roberts,TSLA,Spouse,2020-08-03,75000.5,-1.3765095477257683,-6.535476506521998,20.838342569355106,61.543468425539714
Pat Roberts,AAPL,Spouse,2020-08-03,75000.5,2.8727397538846677,1.6035672280160895,2.620733873237091,12.425753491520354
