ticker,date,h,stk,spy,abn,period,price
INLX,2022-04-05,10,-0.08403362943984459,-0.018946501082214913,-0.06508712835762967,disc,4.760000228881836
CNFN,2023-07-06,1,0.07142858967489157,0.002531104549168618,0.06889748512572295,disc,1.399999976158142
CNFN,2023-07-06,3,0.2857142735500723,0.017033408798610143,0.26868086475146213,disc,1.399999976158142
CNFN,2023-07-06,5,1.0,0.024467019233833754,0.9755329807661662,disc,1.399999976158142
CNFN,2023-07-06,10,0.42857145289985543,0.03107970644670721,0.3974917464531482,disc,1.399999976158142
RLYB,2024-04-10,1,-0.2617449551669066,-0.013803077020240107,-0.2479418781466665,disc,23.84000015258789
RLYB,2024-04-10,3,-0.395973174229736,-0.027934365290932673,-0.3680388089388033,disc,23.84000015258789
RLYB,2024-04-10,5,-0.4395973334242204,-0.03567569688480333,-0.4039216365394171,disc,23.84000015258789
RLYB,2024-04-10,10,-0.44630873637673846,-0.028011601864140926,-0.41829713451259753,disc,23.84000015258789
ANY,2023-08-23,1,0.006992966885427103,0.007049798505337939,-5.683161991083645e-05,disc,14.300000190734863
ANY,2023-08-23,3,0.14685310488009812,0.02808484653407667,0.11876825834602145,disc,14.300000190734863
ANY,2023-08-23,5,0.013986000461364953,0.030808649783193812,-0.016822649321828857,disc,14.300000190734863
ANY,2023-08-23,10,0.04195800138409486,0.01975319663045826,0.022204804753636603,disc,14.300000190734863
NKTR,2024-03-04,1,0.0340908951338984,0.005067249026642199,0.029023646107256204,disc,13.199999809265137
NKTR,2024-03-04,3,0.0340908951338984,0.008951474053559741,0.02513942108033866,disc,13.199999809265137
NKTR,2024-03-04,5,0.01136367987666968,0.018928263653394246,-0.007564583776724566,disc,13.199999809265137
NKTR,2024-03-04,10,-0.011363607628614363,0.01681854454051362,-0.028182152169127984,disc,13.199999809265137
NITO,2023-04-06,1,0.0,0.00026858688282757544,-0.00026858688282757544,disc,1234.7999267578125
NITO,2023-04-06,3,-0.031944402841545545,0.00942363713576862,-0.04136803997731417,disc,1234.7999267578125
NITO,2023-04-06,5,-0.00013889601492998702,0.010571073080963486,-0.010709969095893473,disc,1234.7999267578125
NITO,2023-04-06,10,0.11111117701669353,0.007372914819588589,0.10373826219710494,disc,1234.7999267578125
NCMI,2023-06-28,1,0.06250001396983841,0.011800720368392617,0.050699293601445795,disc,3.200000047683716
NCMI,2023-06-28,3,0.031249969732016776,0.011458354520775581,0.019791615211241197,disc,3.200000047683716
NCMI,2023-06-28,5,0.031249969732016776,0.001004319591239558,0.03024565014077722,disc,3.200000047683716
NCMI,2023-06-28,10,0.24999998137354879,0.025495911531829087,0.2245040698417197,disc,3.200000047683716
EGHT,2022-08-04,1,0.1024499023598874,-0.0011609330420852067,0.1036108354019726,disc,4.489999771118164
EGHT,2022-08-04,3,0.16481075404844325,0.01576895299398424,0.14904180105445902,disc,4.489999771118164
EGHT,2022-08-04,5,0.18930967144749927,0.032964918476726536,0.15634475297077274,disc,4.489999771118164
EGHT,2022-08-04,10,0.12917604234059302,0.020968905608962116,0.1082071367316309,disc,4.489999771118164
REAL,2024-05-07,1,0.034313693407726165,0.005761867891264216,0.02855182551646195,disc,4.079999923706055
REAL,2024-05-07,3,0.08088233575413901,0.007192657796099693,0.07368967795803932,disc,4.079999923706055
REAL,2024-05-07,5,0.11519614603371987,0.02434313655723673,0.09085300947648314,disc,4.079999923706055
REAL,2024-05-07,10,-0.0024509196646245257,0.024439789224018342,-0.026890708888642867,disc,4.079999923706055
LOWLF,2022-08-19,1,0.08062932192299947,-0.002419257252289889,0.08304857917528936,disc,2.0339999198913574
LOWLF,2022-08-19,3,0.06440513624438444,0.01490263353369038,0.04950250271069406,disc,2.0339999198913574
LOWLF,2022-08-19,5,-0.016715792148690678,-0.025934440697742495,0.009218648549051817,disc,2.0339999198913574
LOWLF,2022-08-19,10,0.02015738908905579,-0.05465101246964393,0.07480840155869972,disc,2.0339999198913574
NVAX,2023-08-08,1,0.08005620517178126,0.00035895381292063935,0.07969725135886062,disc,7.119999885559082
NVAX,2023-08-08,3,0.01685391678200277,0.005294414697840718,0.011559502084162053,disc,7.119999885559082
NVAX,2023-08-08,5,0.0014045265509229276,-0.013707202134744812,0.01511172868566774,disc,7.119999885559082
NVAX,2023-08-08,10,0.26544949068834794,-0.0061020778927720135,0.27155156858111995,disc,7.119999885559082
RAPP,2024-06-10,1,0.09016782380672933,0.008213005017738785,0.08195481878899055,disc,20.850000381469727
RAPP,2024-06-10,3,0.16546756798417037,0.010857653333278771,0.1546099146508916,disc,20.850000381469727
RAPP,2024-06-10,5,0.2124700347302108,0.021491717599392276,0.19097831713081853,disc,20.850000381469727
RAPP,2024-06-10,10,0.11558752054287623,0.015941889121874685,0.09964563142100155,disc,20.850000381469727
RLAY,2024-01-08,1,-0.021061499781827916,0.005655424681706068,-0.026716924463533985,disc,11.869999885559082
RLAY,2024-01-08,3,-0.07329400959957168,0.005908643040681088,-0.07920265264025277,disc,11.869999885559082
RLAY,2024-01-08,5,-0.1221566826659528,-0.003355272055177388,-0.11880141061077541,disc,11.869999885559082
RLAY,2024-01-08,10,-0.17017687645868185,0.024288869855294597,-0.19446574631397645,disc,11.869999885559082
VNOM,2023-11-07,1,0.006896578032394935,-0.007798750513686392,0.014695328546081327,disc,29.0
VNOM,2023-11-07,3,0.07862071333260372,0.00672384777908805,0.07189686555351567,disc,29.0
VNOM,2023-11-07,5,0.031034469604492188,0.02842765620533162,0.0026068133991605687,disc,29.0
VNOM,2023-11-07,10,0.04620690181337554,0.040640340797419953,0.005566561015955589,disc,29.0
TNGX,2023-08-10,1,-0.06924107082764959,0.005520007828496755,-0.07476107865614634,disc,7.510000228881836
TNGX,2023-08-10,3,-0.0892143882655649,-0.013485873062623386,-0.07572851520294151,disc,7.510000228881836
