ticker,trans_date,filing_date,lag_days,n_insiders,accept_time,trigger_class,r_trans_5d,r_filing_5d,r_filing_plus1_5d
GRNT,2025-06-16,2025-06-17,1,3,2025-06-17 16:46:39,after_close_same_day,4.855405013599341,5.545011126388861,8.097237995488213
GROV,2025-06-02,2025-06-03,1,3,2025-06-03 18:57:33,after_close_same_day,-5.587710933783053,-6.357839188931944,-7.729366738341269
GRWG,2024-08-27,2024-08-28,1,4,2024-08-28 17:00:31,after_close_same_day,-2.130719218544874,-3.9434751993616945,-1.8800440300002492
GT,2024-08-13,2024-08-13,0,5,2024-08-13 16:23:17,after_close_same_day,1.3950115657814428,1.3950115657814428,1.099176544572579
GTLS,2024-09-16,2024-09-16,0,4,2024-09-16 21:09:22,after_close_same_day,5.040992534784367,5.040992534784367,2.1930929897554505
GTLS,2025-03-14,2025-03-14,0,5,2025-03-14 20:18:31,after_close_same_day,3.7502660897255895,3.7502660897255895,5.8556266667233
GWAV,2024-12-04,2024-12-05,1,3,2024-12-05 20:30:08,after_close_same_day,-5.627488971169577,-21.55880665398862,-14.024028243981917
HCWC,2024-09-17,2024-09-18,1,3,2024-09-18 08:58:59,pre_open_same_day,-24.84976093875125,-22.13616319030416,-11.649727259815473
HELE,2025-07-16,2025-07-16,0,3,2025-07-16 19:19:24,after_close_same_day,7.555476199248185,7.555476199248185,2.7286250466726676
HHS,2024-08-15,2024-08-15,0,3,2024-08-15 17:29:10,after_close_same_day,-0.5695372984111774,-0.5695372984111774,1.034902253107575
HI,2024-05-06,2024-05-07,1,4,,not_found_no_cik,-0.035176796410429256,-2.635283579117379,-2.323985380630322
HI,2025-02-10,2025-02-10,0,4,,not_found_no_cik,3.8527039717556093,3.8527039717556093,-3.9710147942814253
HLIT,2025-02-25,2025-02-26,1,4,2025-02-26 20:40:59,after_close_same_day,7.389025337776879,7.349616778427767,4.648269136325014
HP,2025-02-18,2025-02-19,1,3,2025-02-19 16:16:26,after_close_same_day,5.257214052830536,4.4783742616561195,1.5280325713380196
HRTG,2024-05-06,2024-05-07,1,3,2024-05-07 21:08:59,after_close_same_day,8.040629584168917,10.997907308034081,5.989247208681428
HWBK,2024-03-14,2024-03-15,1,4,2024-03-15 17:21:28,after_close_same_day,7.49876078708578,3.6046667337104585,6.332986041089255
IFF,2025-05-22,2025-05-23,1,5,2025-05-23 20:46:40,after_close_same_day,0.028883541705756022,-1.4018005702504965,-1.5865392255859387
IMMR,2024-08-28,2024-08-29,1,3,2024-08-29 22:28:45,after_close_same_day,3.0663857116615487,3.106925825397366,-1.5106647367431911
IMNM,2025-03-26,2025-03-26,0,3,2025-03-26 20:05:21,after_close_same_day,-4.643858621331454,-4.643858621331454,-8.928458458370724
INBX,2024-09-03,2024-09-03,0,4,2024-09-03 17:31:03,after_close_same_day,-4.231671333395749,-4.231671333395749,-7.113608105398181
INV,2025-12-02,2025-12-03,1,5,2025-12-04 02:47:45,unknown,10.844858329798864,18.13659486479895,12.176348555747293
INVE,2024-05-23,2024-05-23,0,3,2024-05-23 18:24:21,after_close_same_day,4.804378631900198,4.804378631900198,5.083045577337514
ITGR,2025-11-12,2025-11-13,1,4,2025-11-13 21:18:50,after_close_same_day,0.37488211053882425,3.0206436310201,2.653764680114029
J,2025-11-24,2025-11-25,1,3,2025-11-25 19:00:56,after_close_same_day,-0.05057566773285482,2.8232990408080876,3.1417412970372878
JRVR,2025-05-20,2025-05-21,1,3,2025-05-21 09:19:31,pre_open_same_day,15.520382282236428,14.136467719248742,4.5456776508831265
KYN,2025-04-08,2025-04-08,0,3,2025-04-08 13:29:05,intraday_same_day,2.6912743889058266,2.6912743889058266,7.479971884014274
LBSR,2025-03-06,2025-03-06,0,4,2025-03-06 17:45:47,after_close_same_day,-9.78258236637274,-9.78258236637274,1.4183878551944427
