ticker,filing_date,announcement_date,announcement_drop,lag_days
GLBE,2021-09-13,2021-09-08,-7.403744850884452,5
CLVT,2021-09-13,2021-09-10,-9.181204789979835,3
FIGS,2021-09-17,2021-09-14,-7.036789761316675,3
INVH,2021-09-27,2021-09-27,-2.38929985816142,0
EQT,2021-09-30,2021-09-29,-6.237157819029438,1
GENI,2021-09-30,2021-09-28,-3.663537708262099,2
FA,2021-11-12,2021-11-09,-5.104244083505593,3
ALHC,2021-11-19,2021-11-17,-7.065620554946916,2
DV,2021-11-19,2021-11-15,-3.1359048234131714,4
EQT,2021-11-22,2021-11-17,-2.5298237358577502,5
PRVA,2021-11-22,2021-11-19,-4.512285486727152,3
APP,2021-12-06,2021-12-06,-5.15097001151108,0
VRRM,2021-12-09,2021-12-08,-4.27774987229792,1
CNM,2022-01-07,2022-01-04,-11.207581125781019,3
PWP,2022-01-20,2022-01-14,-7.529194874837708,6
VERA,2022-02-11,2022-02-09,-10.118619250349049,2
RYZ,2022-05-12,2022-05-11,-17.31960888613213,1
CDRE,2022-06-13,2022-06-08,-12.978646676416727,5
ACLX,2022-06-16,2022-06-14,-17.29425669793202,2
SMMT,2022-07-18,2022-07-12,-7.015120487938232,6
OPCH,2022-08-18,2022-08-17,-7.126024849781166,1
CRGY,2022-09-09,2022-09-07,-9.383935250351527,2
AMLX,2022-10-07,2022-09-30,-5.210841750758,7
DV,2022-11-14,2022-11-11,-6.53929131487171,3
ESAB,2022-11-17,2022-11-14,-6.389676117840192,3
SMMT,2023-02-07,2023-02-03,-18.009264415308756,4
ENLT,2023-02-13,2023-02-07,-1.3078560847974652,6
RYZ,2023-02-27,2023-02-24,-6.446370039678328,3
OPCH,2023-03-03,2023-02-24,-2.0352136952603517,7
DV,2023-03-07,2023-03-06,-3.5337194932338667,1
RYZ,2023-05-05,2023-05-04,-5.905679903927763,1
RYAN,2023-05-24,2023-05-23,-4.645629876798574,1
GEHC,2023-06-08,2023-06-08,-3.99702679835221,0
SKWD,2023-06-08,2023-06-05,-2.8653171170656466,3
MBLY,2023-06-08,2023-06-08,-4.603042841931659,0
ATAT,2023-06-08,2023-06-06,-7.6207942635919785,2
MSGE,2023-06-26,2023-06-21,-11.596603842289454,5
EOSE,2023-06-30,2023-06-30,-13.14761308074851,0
RYZ,2023-08-07,2023-08-01,-16.282451000342803,6
DV,2023-08-08,2023-08-01,-14.440673073361253,7
GENI,2023-09-14,2023-09-14,-6.988065788046416,0
GENI,2023-09-18,2023-09-14,-6.988058833948008,4
MSGE,2023-09-21,2023-09-18,-2.012852442325397,3
KNF,2023-11-08,2023-11-07,-6.424349963264476,1
SKWD,2023-11-16,2023-11-16,-2.7755006203975308,0
SN,2023-12-06,2023-11-29,-4.796738622709739,7
GEHC,2024-02-16,2024-02-09,-1.4553304902237496,7
APGE,2024-03-11,2024-03-07,-3.1668931875557527,4
SN,2024-03-21,2024-03-14,-1.1738334812264828,7
GPGI,2024-05-08,2024-05-03,-2.8992818803377562,5
KVUE,2024-05-15,2024-05-15,-1.6745589732400479,0
FIHL,2024-05-23,2024-05-21,-5.00714438105695,2
TTWO,2024-06-12,2024-06-10,-2.876189058701162,2
BIRK,2024-06-27,2024-06-26,-4.935654770163833,1
NNE,2024-07-15,2024-07-09,-11.171071215211636,6
ULS,2024-09-06,2024-09-05,-4.345691487681358,1
PACS,2024-09-06,2024-09-04,-6.878538549833357,2
LQDA,2024-09-11,2024-09-10,-3.8014897626318045,1
VIK,2024-09-12,2024-09-10,-4.011427514957466,2
MRX,2024-10-24,2024-10-22,-4.764262727680046,2
NNE,2024-10-24,2024-10-23,-14.712599317579745,1
OS,2024-11-15,2024-11-15,-8.859311655544744,0
SEI,2024-11-25,2024-11-25,-2.827420576195483,0
AS,2024-12-05,2024-12-05,-2.531807802992947,0
SEI,2024-12-09,2024-12-06,-6.686745733572652,3
ORA,2024-12-12,2024-12-12,-6.9545030156366705,0
CGON,2024-12-13,2024-12-12,-8.498278346857935,1
