ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
VERO,2021-06-15,3,241750.0,2021-06-01,2021-06-15,True,True,True,CCO|Chief Executive Officer|Chief Financial Officer,"Director,Officer|Officer"
JANX,2021-06-15,7,107098946.0,2021-06-15,2021-06-15,False,True,True,Acting Chief Financial Officer,"Director|Director,TenPercentOwner|Officer,TenPercentOwner|TenPercentOwner"
PDSB,2021-06-16,3,348793.5,2021-06-15,2021-06-16,False,True,True,Chief Financial Officer,Director|Officer|Other
SAGE,2021-06-16,3,1595391.1,2021-06-16,2021-06-16,True,False,True,President and CEO,"Director|Director,Officer"
EVA,2021-06-18,3,41989258.5,2021-06-08,2021-06-18,False,False,False,,"Director|Director,TenPercentOwnerOther"
CNVY,2021-06-18,3,1591721.2,2021-06-18,2021-06-18,True,False,True,"Mng Partner, HealthScape & EVP|EVP, Technology|CHIEF EXECUTIVE OFFICER","Director,Officer|Officer"
VERV,2021-06-21,7,66880000.0,2021-06-17,2021-06-21,False,False,False,Chief Scientific Officer,Officer|Other|TenPercentOwner
FEMY,2021-06-22,4,2559800.0,2021-06-18,2021-06-22,False,False,False,,"Director|Director,TenPercentOwner"
IPSC,2021-06-22,3,32000000.0,2021-06-22,2021-06-22,False,False,False,,Director|TenPercentOwner
ATAI,2021-06-22,8,21402450.0,2021-06-22,2021-06-22,False,True,True,See Remarks|Chief Financial Officer,"Director|Director,TenPercentOwner|Officer|TenPercentOwner"
CYT,2021-06-22,3,14999958.0,2021-06-22,2021-06-22,False,False,False,,Director|TenPercentOwner
FTCV,2021-06-24,3,6663455.22,2021-06-18,2021-06-24,False,False,False,,TenPercentOwner
CXM,2021-06-25,6,84359392.0,2021-06-25,2021-06-25,True,False,True,Chief Executive Officer,"Director,Officer|Director,TenPercentOwner|TenPercentOwner"
WPF,2021-06-28,3,1197800.0,2021-06-28,2021-06-28,True,False,True,See Remarks|Chief Executive Officer,"Director,Officer|Officer|TenPercentOwner"
GLUE,2021-06-28,16,276750010.0,2021-06-28,2021-06-28,False,False,False,,"Director,TenPercentOwner|Other|TenPercentOwner"
BHG,2021-06-28,9,314999928.0,2021-06-28,2021-06-28,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
DCTH,2021-06-28,3,6045072.5,2021-06-25,2021-06-28,True,False,True,Chief Executive Officer,"Director|Director,Officer"
VINC,2021-06-29,4,528414.6,2021-06-29,2021-06-29,True,True,True,Chief Executive Officer|Chief Financial Officer,"Director|Director,Officer|Officer"
GRPH,2021-06-29,3,14620000.0,2021-06-29,2021-06-29,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
ELEV,2021-06-29,5,26000000.0,2021-06-29,2021-06-29,False,False,False,,TenPercentOwner
GOBI,2021-07-01,3,1.2e+16,2021-07-01,2021-07-01,False,False,False,,TenPercentOwner
S,2021-07-02,7,89674283.36,2021-07-02,2021-07-02,False,False,False,,Director|TenPercentOwner|TenPercentOwnerOther
SOWG,2021-07-02,4,880621.25,2021-07-02,2021-07-02,False,False,False,,Director
AVTE,2021-07-02,6,70999964.0,2021-07-01,2021-07-02,False,False,False,,"Director|Director,TenPercentOwner|Other|TenPercentOwner"
CVRX,2021-07-02,6,22963482.0,2021-06-30,2021-07-02,False,False,False,,Director|TenPercentOwner
ECOR,2021-07-02,3,200000.0,2021-07-02,2021-07-02,True,False,True,Chief Executive Officer,"Director|Director,Officer"
DNUT,2021-07-06,4,99109755.42,2021-07-06,2021-07-06,False,False,False,,Director|DirectorOther|TenPercentOwner
ABOS,2021-07-06,6,59356000.0,2021-07-06,2021-07-06,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
CRCT,2021-07-06,3,46212231.14,2021-06-14,2021-07-06,False,False,False,,TenPercentOwner
CMCT,2021-07-07,4,8933800.0,2021-07-07,2021-07-07,False,False,False,,"Director,TenPercentOwner|Other"
BHR,2021-07-09,3,403740.0,2021-07-09,2021-07-09,False,False,False,Chief Accounting Officer|Chief Operating Officer,Director|Officer
NECB,2021-07-12,3,360000.0,2021-07-12,2021-07-12,True,False,True,Chairman and CEO,"Director|Director,Officer"
HIBB,2021-07-15,3,474218.0,2021-06-28,2021-07-15,False,False,False,SVP Operations|SVP and CIO|SVP General Counsel,Officer
ANIX,2021-07-15,3,244133.4,2021-07-14,2021-07-15,False,False,False,,Director
IMRA,2021-07-16,3,47999982.0,2021-07-16,2021-07-16,False,False,False,,"Director|Director,TenPercentOwner"
AFIB,2021-07-19,3,44999976.0,2021-07-19,2021-07-19,False,False,False,,"Director,TenPercentOwner|Director,TenPercentOwnerOther"
BYRN,2021-07-20,3,375018.0,2021-07-20,2021-07-20,True,True,True,CEO Pres Chairman of the Board|Chief Financial Officer|Chief Legal Officer,"Director,Officer|Officer"
TPGY,2021-07-20,3,5748395.12,2021-07-07,2021-07-20,False,False,False,,TenPercentOwner
ERAS,2021-07-20,3,15395200.0,2021-07-20,2021-07-20,False,False,False,,Director|TenPercentOwner
IMGO,2021-07-20,3,9400000.0,2021-07-15,2021-07-20,False,False,False,,Other|TenPercentOwner
INST,2021-07-21,5,1162980.0,2021-07-21,2021-07-21,True,True,True,Chief Executive Officer|Chief Financial Officer|Chief Legal Officer|Chief Product Officer|Chief Revenue Officer,"Director,Officer|Officer"
HCWB,2021-07-22,5,6570000.0,2021-07-22,2021-07-22,True,True,True,See Remarks|SVP of Business Development|Chief Financial Officer|Chief Executive Officer,"Director|Director,Officer|Officer"
PYCR,2021-07-23,6,2116000.0,2021-07-23,2021-07-23,False,True,True,Chief Revenue Officer|See Remarks|Chief Financial Officer|Chief Product Officer,Director|Officer
SSB,2021-07-26,3,246100.0,2021-07-26,2021-07-26,True,True,True,Chief Financial Officer|Chief Strategy Officer|CEO,"Director,Officer|Officer"
RYAN,2021-07-26,8,9308450.0,2021-07-22,2021-07-26,False,False,False,See Remarks|See Remarks,Director|Officer
ABSI,2021-07-26,6,80544000.0,2021-07-26,2021-07-26,False,False,False,General Counsel,Director|Officer
CTKB,2021-07-27,3,50286000.0,2021-07-22,2021-07-27,False,False,False,,Director
CRCT,2021-07-28,3,47180261.13,2021-07-06,2021-07-28,False,False,False,,TenPercentOwner
PHGE,2021-07-28,3,200000.0,2021-07-28,2021-07-28,True,False,True,Chief Executive Officer,"Director|Director,Officer"
RLYB,2021-07-28,7,20696071.2,2021-07-28,2021-07-28,True,False,True,See Remarks|Chief Executive Officer|See Remarks,"Director|Director,Officer|Officer"
