ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix,raw_5d,spy_5d_fwd,abnormal_5d,has_ceo,has_cfo,has_c_suite,titles_in_cluster
RM,2023-05-25,8,8705009.12,2023-05-25,2023-05-25,-1.092468383668899,0.6114593435286059,19.13999938964844,7.704465087721293,1.880874689671268,5.823590398050025,,,,
ANNX,2023-05-25,4,2556000.0,2023-05-25,2023-05-25,-1.092468383668899,0.6114593435286059,19.13999938964844,4.56140767687773,1.880874689671268,2.680532987206462,,,,
AUID,2023-05-26,3,150000.0,2023-05-26,2023-05-26,0.3344399515252597,2.048148017163326,17.950000762939453,-11.392408978994345,1.6469112837654096,-13.039320262759752,True,False,True,Chief Executive Officer
RAIN,2023-05-30,3,3329812.44,2023-05-30,2023-05-30,0.3319112388275947,1.736031659983814,17.459999084472656,-35.6164426511884,0.8295790961361507,-36.44602174732455,,,,
SBIG,2023-05-31,3,444517.2,2023-05-31,2023-05-31,0.9080114821947406,1.852524375503813,17.940000534057617,64.33565624710835,1.1213213140515397,63.2143349330568,True,False,True,Chief Executive Officer
LYRA,2023-05-31,12,71061173.76,2023-05-31,2023-05-31,0.9080114821947406,1.852524375503813,17.940000534057617,8.148148148148149,1.1213213140515397,7.026826834096609,False,False,False,
ZD,2023-05-31,3,765310.0,2023-05-30,2023-05-31,0.9080114821947406,1.852524375503813,17.940000534057617,11.225163258302114,1.1213213140515397,10.103841944250574,True,True,True,Chief Executive Officer|Chief Financial Officer|EVP/General Counsel
LXRX,2023-06-05,10,722151300.0,2023-06-05,2023-06-05,1.6856527697995776,2.025730217631039,14.729999542236328,-0.3759394789693757,1.3480176785900042,-1.72395715755938,,,,
AAP,2023-06-07,3,700706.35,2023-06-07,2023-06-07,2.082073940970084,3.008990893616617,13.9399995803833,8.433715739733904,1.875885698813038,6.557830040920866,False,False,False,
GME,2023-06-09,4,20338511.16,2023-06-09,2023-06-09,0.4626882429252231,3.677786178822118,13.829999923706056,1.0699598232303769,1.6810651931808196,-0.6111053699504427,False,False,False,
BNKL,2023-06-09,3,606666.0,2023-06-09,2023-06-09,0.4626882429252231,3.677786178822118,13.829999923706056,2.9000043869018555,1.6810651931808196,1.218939193721036,False,False,False,
DAWN,2023-06-09,4,39999960.0,2023-06-09,2023-06-09,0.4626882429252231,3.677786178822118,13.829999923706056,5.661882299097363,1.6810651931808196,3.980817105916544,,,,
JYNT,2023-06-12,3,836434.38,2023-06-12,2023-06-12,1.5687038575837753,3.280799527408666,15.010000228881836,2.2692903530650854,0.4909823285144139,1.7783080245506715,,,,
BKTI,2023-06-12,4,359260.0,2023-06-12,2023-06-12,1.5687038575837753,3.280799527408666,15.010000228881836,0.0,0.4909823285144139,-0.4909823285144139,,,,
RMAX,2023-06-13,3,910560.0,2023-06-13,2023-06-13,2.0162107110897667,3.9221191489169,14.609999656677246,-4.754274947775678,-0.1428164480037651,-4.611458499771913,,,,
SFBC,2023-06-14,6,1597500.0,2023-06-14,2023-06-14,2.492109673732193,4.62607118079945,13.880000114440918,-1.7914114774151508,-1.0096202210936946,-0.7817912563214562,,,,
CLNN,2023-06-16,4,9200000.0,2023-06-16,2023-06-16,2.603510129265575,3.0782445074622773,13.539999961853027,-20.0,-1.3129614753769585,-18.68703852462304,False,False,False,
UTI,2023-06-21,5,10260689.25,2023-06-21,2023-06-21,-0.023894029615524,1.9918349274898235,13.199999809265137,-0.15151139680561,-0.0274763275441714,-0.1240350692614385,,,,
AZTR,2023-06-21,18,54000000.0,2023-06-21,2023-06-21,-0.023894029615524,1.9918349274898235,13.199999809265137,-15.942028985507244,-0.0274763275441714,-15.914552657963071,,,,
CAPIX,2023-06-22,6,17150000.04,2023-06-08,2023-06-22,0.2176412829454193,2.71517481614393,12.90999984741211,0.0,1.1310921054023078,-1.1310921054023078,False,True,True,Global CIO|Vice President|President|VP and Chief Financial Officer|Vice President
MPAA,2023-06-23,3,1050000.0,2023-06-23,2023-06-23,-1.7579705532229797,1.3257398983970148,13.4399995803833,11.206892653679612,2.7443005759621486,8.462592077717465,False,False,False,
DMAC,2023-06-23,6,15554150.17,2023-06-23,2023-06-23,-1.7579705532229797,1.3257398983970148,13.4399995803833,-1.8181800448205243,2.7443005759621486,-4.562480620782673,False,False,False,Chief Business Officer
ACET,2023-06-27,10,18287500.0,2023-06-27,2023-06-27,-0.2310371296354046,0.9198222640967904,13.739999771118164,19.696968191801957,1.5444911945517623,18.152476997250194,,,,
AENT,2023-06-30,4,999600.0,2023-06-30,2023-06-30,2.3245135103832784,0.525678694142071,13.59000015258789,-12.681156008765855,-0.9306246601331544,-11.750531348632702,True,False,True,Executive Chairman|Chief Executive Officer
KGS,2023-07-03,3,576000.0,2023-07-03,2023-07-03,2.862498064820778,0.9852900650152108,13.56999969482422,5.751630364777405,-0.1512151040559273,5.902845468833332,False,False,False,See Remarks|See Remarks
EPSN,2023-07-06,4,1848036.0,2023-06-09,2023-07-06,0.7493266775429267,1.0852080221766345,15.4399995803833,11.808124734103403,2.510559185653989,9.297565548449416,True,False,True,Chief Executive Officer
EVLO,2023-07-11,8,99999992.4,2023-07-11,2023-07-11,-0.2996879810553112,2.554231521107258,14.84000015258789,62.606227128616965,1.8317401410914105,60.77448698752555,,,,
APGE,2023-07-13,7,329749952.0,2023-07-13,2023-07-13,2.2517345745251176,3.0179340999424187,13.609999656677246,-3.862457430547083,0.6454707201980351,-4.507928150745118,,,,
SVRA,2023-07-17,13,12999987.0,2023-07-17,2023-07-17,2.5428616764310292,1.705462658056423,13.479999542236328,5.538463592529297,0.0022052020507683,5.536258390478529,False,False,False,
MLKN,2023-07-18,3,399208.8,2023-07-17,2023-07-18,2.6510856158964304,2.3434526498827917,13.300000190734863,7.222823925125506,0.0527171765471519,7.170106748578354,False,False,False,
RMCF,2023-07-18,7,507048.0,2023-07-18,2023-07-18,2.6510856158964304,2.3434526498827917,13.300000190734863,0.343642273824959,0.0527171765471519,0.290925097277807,,,,
SGMT,2023-07-18,7,3630000.0,2023-07-18,2023-07-18,2.6510856158964304,2.3434526498827917,13.300000190734863,-0.1869082911082373,0.0527171765471519,-0.2396254676553893,,,,
HPK,2023-07-19,8,92967525.0,2023-07-19,2023-07-19,2.058226815107406,2.7238112594789294,13.760000228881836,5.813115992299793,0.7364365568238765,5.076679435475917,True,True,True,Chief Executive Officer|Chief Operating Officer|President|Vice President and Controller|Chief Financial Officer
JANX,2023-07-19,5,30838998.4,2023-07-19,2023-07-19,2.058226815107406,2.7238112594789294,13.760000228881836,5.773851627398917,0.7364365568238765,5.037415070575041,,,,
ABOS,2023-07-21,5,199999987.5,2023-07-21,2023-07-21,0.645484785192374,3.1079756220706254,13.600000381469728,6.695779414988124,0.5988765404161841,6.096902874571939,,,,
SYM,2023-07-23,8,4000000012.8,2023-07-23,2023-07-23,0.2972372486986365,2.8476572572149013,13.600000381469728,2.953378199708754,0.5988765404161841,2.3545016592925694,,,,
RILY,2023-07-25,3,4549985.0,2023-07-25,2023-07-25,0.2752050037627559,2.9335865399281684,13.859999656677246,-7.914771431427782,0.2129448405580708,-8.127716271985854,True,False,True,"Chairman and Co-CEO|CEO B. Riley Securities, Inc."
BTTX,2023-07-27,4,1700232.05,2023-07-27,2023-07-27,0.0685393536352549,0.6517383836820614,14.40999984741211,16.91935510851218,-1.7683702142266216,18.6877253227388,True,False,True,Executive Chairman|Chief Executive Officer
CMRA,2023-07-31,3,728214.21,2023-07-31,2023-07-31,0.7904047875056721,1.5415857778567676,13.630000114440918,-7.826742158637493,-1.264018006061777,-6.562724152575716,,,,
ADC,2023-08-02,3,3258225.45,2023-08-02,2023-08-02,-1.1810878068686017,-1.1138073182125166,16.09000015258789,-0.4805865177276635,-0.6884383287782609,0.2078518110505974,True,False,True,EXECUTIVE CHAIRMAN OF BOARD|PRESIDENT & CEO
WLDN,2023-08-03,3,23259447.21,2023-08-03,2023-08-03,-0.8066379471968141,-0.7386514579967447,15.920000076293944,-1.960782480441495,-0.2014351209339077,-1.7593473595075872,,,,
EXFY,2023-08-04,4,11981740.72,2023-08-04,2023-08-04,-2.2126599798582554,-1.187591561071995,17.100000381469727,-22.50858941823001,-1.1226811097038554,-21.38590830852615,,,,
WEST,2023-08-07,10,218901920.0,2023-08-03,2023-08-07,-1.5465824761511164,-0.7684019505796666,15.770000457763672,0.0,-0.1426325714410839,0.1426325714410839,,,,
RBOT,2023-08-07,8,64000000.0,2023-08-07,2023-08-07,-1.5465824761511164,-0.7684019505796666,15.770000457763672,5.0113883340070124,-0.1426325714410839,5.154020905448096,,,,
ZBRA,2023-08-07,3,1508453.0,2023-08-03,2023-08-07,-1.5465824761511164,-0.7684019505796666,15.770000457763672,4.012926903853987,-0.1426325714410839,4.155559475295071,True,False,True,Executive Chair|Chief Executive Officer
LOCO,2023-08-07,3,6678693.6,2023-08-07,2023-08-07,-1.5465824761511164,-0.7684019505796666,15.770000457763672,-5.023255459097928,-0.1426325714410839,-4.880622887656845,,,,
ONEW,2023-08-08,6,1585800.0,2023-08-08,2023-08-08,-1.6934113957615884,-1.4689070427799802,15.989999771118164,-0.3685900376499242,-0.6416228209047974,0.2730327832548731,,,,
BLFS,2023-08-09,4,3086952.0,2023-08-09,2023-08-09,-0.9730459955962836,-2.1426412748556745,15.960000038146973,-6.0386473059007875,-1.4061038585591763,-4.632543447341611,,,,
IOBT,2023-08-09,5,29012338.45,2023-08-09,2023-08-09,-0.9730459955962836,-2.1426412748556745,15.960000038146973,10.928957583837514,-1.4061038585591763,12.33506144239669,,,,
EMBC,2023-08-10,3,311076.5,2023-08-10,2023-08-10,-0.6527979397673087,-1.4541701710634407,15.850000381469728,-10.94574632259859,-2.100290758988654,-8.845455563609935,True,True,True,"President and CEO|SVP, GC, Head Corp. Dev., Secy|SVP and CFO"
BVS,2023-08-10,3,2899682.85,2023-08-10,2023-08-10,-0.6527979397673087,-1.4541701710634407,15.850000381469728,-16.814159151997856,-2.100290758988654,-14.713868393009202,,,,
TNGX,2023-08-11,5,12231250.0,2023-08-11,2023-08-11,-0.2596184117072531,-2.4665339188693185,14.84000015258789,-0.7153035126595836,-2.5908734103573874,1.8755698976978037,,,,
XPOF,2023-08-11,6,991962.9,2023-08-11,2023-08-11,-0.2596184117072531,-2.4665339188693185,14.84000015258789,-1.756762538711873,-2.5908734103573874,0.8341108716455143,True,False,True,Chief Legal Officer|Chief Executive Officer
ALTG,2023-08-14,3,386440.0,2023-08-14,2023-08-14,-0.5768541344461021,-2.114515085640922,14.81999969482422,-3.880802813292602,-0.8015576577120943,-3.079245155580507,False,False,False,See Remarks
HTLD,2023-08-15,5,7005098.8,2023-08-08,2023-08-15,-1.3058507314514438,-2.977148702114998,16.459999084472656,-1.7646982619350986,-0.3389174935441891,-1.4257807683909094,,,,
BRN,2023-08-15,3,465846.87,2023-08-15,2023-08-15,-1.3058507314514438,-2.977148702114998,16.459999084472656,0.7490698249739928,-0.3389174935441891,1.087987318518182,,,,
TSHA,2023-08-16,4,16020000.0,2023-08-16,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,18.085108204306717,1.5448453123340025,16.540262891972716,True,False,True,Chief Executive Officer
HQI,2023-08-16,3,527500.0,2023-08-15,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,3.76224044554564,1.5448453123340025,2.217395133211638,True,False,True,President and CEO
HHH,2023-08-16,3,3672112.8,2023-08-16,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,2.1180921109438677,1.5448453123340025,0.5732467986098653,,,,
SKIN,2023-08-16,3,688617.4,2023-08-16,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,7.266428792581536,1.5448453123340025,5.721583480247533,False,False,False,
SSKN,2023-08-16,5,5095904.0,2023-08-16,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,12.068961831817566,1.5448453123340025,10.524116519483565,,,,
FNKO,2023-08-16,3,7912211.94,2023-08-16,2023-08-16,-1.3707351521766729,-2.3304432642644706,16.780000686645508,12.072064440200927,1.5448453123340025,10.527219127866925,,,,
FWRD,2023-08-17,4,1481391.0,2023-08-17,2023-08-17,-2.1573737591173665,-2.7960884074320767,17.889999389648438,5.5280283473066785,0.0893362925829451,5.438692054723734,True,False,True,President & CEO
HASI,2023-08-18,3,421550.0,2023-08-18,2023-08-18,-2.053171932128118,-2.307459931475561,17.299999237060547,4.312099370482106,0.1434150163188338,4.168684354163273,False,False,False,EVP AND CHIEF LEGAL OFFICER|EVP|EVP & CIO
ANTX,2023-08-18,5,80000010.0,2023-08-18,2023-08-18,-2.053171932128118,-2.307459931475561,17.299999237060547,8.509091463955967,0.1434150163188338,8.365676447637133,,,,
MRCY,2023-08-18,4,4329922.15,2023-08-18,2023-08-18,-2.053171932128118,-2.307459931475561,17.299999237060547,3.4464652226750596,0.1434150163188338,3.3030502063562257,True,False,True,President & CEO
RRGB,2023-08-22,3,4701905.44,2023-08-22,2023-08-22,-1.0702369959285052,-2.3621120297403526,16.969999313354492,-1.2440202565904144,1.38365104613587,-2.6276713027262844,,,,
PIII,2023-08-24,4,1058400.0,2023-08-24,2023-08-24,0.1375305534940335,-2.022810253695182,17.200000762939453,42.44604316546763,2.3592318327823953,40.08681133268523,,,,
SOWG,2023-08-25,4,1450000.0,2023-08-25,2023-08-25,0.7949496837327312,-1.2745439321763286,15.68000030517578,0.0,1.9039712297038065,-1.9039712297038065,True,True,True,Executive Chairman|CEO and Interim CFO
CCIF,2023-08-28,5,145917776.5,2023-08-28,2023-08-28,0.7784410036605275,-1.1939007253218188,15.079999923706056,-5.1597022012812905,0.017804005683213,-5.1775062069645035,,,,
RM,2023-08-28,8,621128.64,2023-08-28,2023-08-28,0.7784410036605275,-1.1939007253218188,15.079999923706056,-5.2867964977673365,0.017804005683213,-5.3046005034505495,,,,
INBX,2023-08-28,6,59399894.7,2023-08-28,2023-08-28,0.7784410036605275,-1.1939007253218188,15.079999923706056,37.605810344246485,0.4352790923549148,37.17053125189157,,,,
SPRY,2023-08-29,9,128650000.0,2023-08-29,2023-08-29,2.5128365474338588,1.4157062451275038,14.449999809265137,3.7974680148571993,-1.0620650665822269,4.859533081439427,False,False,False,
DCOM,2023-08-30,8,39664055.76,2023-08-30,2023-08-30,1.801255423039709,2.5862270936543315,13.880000114440918,-3.190989292793472,-1.2212663989675565,-1.9697228938259157,,,,
STAA,2023-09-05,4,23703361.32,2023-08-07,2023-09-05,1.463555127423913,2.253389044307484,14.010000228881836,8.690389816614738,-0.0515405848295078,8.741930401444247,,,,
RMAX,2023-09-06,3,988898.97,2023-09-06,2023-09-06,-0.6545557221764754,1.8418329098472137,14.449999809265137,-1.1541013435348648,0.3731668992863449,-1.5272682428212097,,,,
MGNX,2023-09-07,3,2177650.0,2023-08-30,2023-09-07,-1.3658523052750795,0.4108006290451492,14.399999618530272,-5.273437245341478,1.0863790756413072,-6.359816320982786,,,,
TSNDF,2023-09-08,4,219000.0,2023-09-08,2023-09-08,-1.0725035405175098,1.9753088741114757,13.84000015258789,-3.61990598756426,-0.7840668838939024,-2.8358391036703576,,,,
SWX,2023-09-08,3,23546841.09,2023-09-08,2023-09-08,-1.0725035405175098,1.9753088741114757,13.84000015258789,3.970699809032403,-0.7840668838939024,4.754766692926306,,,,
ASPS,2023-09-08,3,300002.4,2023-09-08,2023-09-08,-1.0725035405175098,1.9753088741114757,13.84000015258789,10.24390453812912,-0.7840668838939024,11.027971422023024,True,True,True,Chief Financial Officer|Chairman and CEO
DNTH,2023-09-11,3,815039.61,2023-09-11,2023-09-11,-0.6072834518848259,1.9274130526609696,13.800000190734863,18.545454198663887,-0.1782995403941122,18.723753739057997,,,,
OLMA,2023-09-12,11,155055153.1,2023-09-12,2023-09-12,-0.7234621304340365,0.729504729884939,14.229999542236328,4.722457853441034,-0.501329214463229,5.223787067904262,,,,
SFBC,2023-09-14,6,555000.0,2023-09-14,2023-09-14,1.238631600905402,-0.1441385826445096,12.81999969482422,0.4325556860509193,-2.7020171499429138,3.134572835993833,,,,
SLQT,2023-09-15,3,647505.0,2023-09-15,2023-09-15,-0.1315466981204332,-1.2026393956431676,13.789999961853027,1.7699098239742963,-2.977693187505482,4.747603011479779,False,False,False,PRESIDENT|CHIEF OPERATING OFFICER
BKSC,2023-09-18,3,473000.0,2023-08-30,2023-09-18,-0.7258639577703235,-1.328739357956414,14.0,2.7592680437503523,-2.367226143063496,5.126494186813849,False,False,False,Chairman of the Board|President
TKNO,2023-09-19,7,61699990.1,2023-09-19,2023-09-19,-0.3853049940381441,-1.1059795887536437,14.109999656677246,55.319153388305295,-2.908990107174075,58.22814349547937,True,True,True,Chief Financial Officer|President and CEO
NMRA,2023-09-19,20,514689285.0,2023-09-19,2023-09-19,-0.3853049940381441,-1.1059795887536437,14.109999656677246,15.597235003518616,-2.908990107174075,18.50622511069269,True,False,True,President & CEO
NUVB,2023-09-19,6,40269096.0,2023-09-19,2023-09-19,-0.3853049940381441,-1.1059795887536437,14.109999656677246,2.9629600849335267,-2.908990107174075,5.871950192107602,,,,
REPX,2023-09-19,3,9075000.0,2023-09-19,2023-09-19,-0.3853049940381441,-1.1059795887536437,14.109999656677246,2.6764780064770854,-2.908990107174075,5.58546811365116,,,,
CART,2023-09-19,8,1380720.0,2023-09-19,2023-09-19,-0.3853049940381441,-1.1059795887536437,14.109999656677246,-0.6976777048500327,-2.908990107174075,2.2113124023240425,,,,
CHPT,2023-09-20,4,32865000.0,2023-09-13,2023-09-20,-1.416038701873595,-1.351972062864644,15.140000343322754,-1.3752470372393883,-1.237873353007858,-0.1373736842315303,,,,
HHH,2023-09-21,3,17930487.51,2023-09-21,2023-09-21,-3.874312976633313,-2.6836698405744697,17.540000915527344,0.1345900674145975,-0.4414507233830267,0.5760407907976243,,,,
MPAA,2023-09-21,3,1012500.0,2023-09-21,2023-09-21,-3.874312976633313,-2.6836698405744697,17.540000915527344,8.28877487720965,-0.4414507233830267,8.730225600592677,False,False,False,
TLYS,2023-09-22,3,502713.6,2023-09-22,2023-09-22,-2.9208188211641306,-3.0485232785672425,17.200000762939453,2.7848074371626717,-1.0989470454621442,3.883754482624816,,,,
