ticker,cluster_date,n_insiders,total_value,window_start,window_end
KYN,2023-11-28,5,18023388.44,2023-11-28,2023-11-28
CNP,2023-11-29,3,1413040.0,2023-11-09,2023-11-29
GBIO,2023-12-01,3,746555.55,2023-12-01,2023-12-01
DRTT,2023-12-01,5,11537163.9,2023-12-01,2023-12-01
EYPT,2023-12-04,3,125622451.65,2023-12-04,2023-12-04
DRTTF,2023-12-04,5,5515895.0,2023-12-04,2023-12-04
MNKTQ,2023-12-05,3,8437500.0,2023-12-05,2023-12-05
OLMA,2023-12-06,4,4640000.0,2023-12-06,2023-12-06
ASA,2023-12-06,3,21682574.68,2023-11-09,2023-12-06
RYES,2023-12-07,3,471600.0,2023-11-07,2023-12-07
RMBL,2023-12-08,5,37876184.5,2023-12-08,2023-12-08
BH,2023-12-11,3,6395021.79,2023-12-11,2023-12-11
LOVE,2023-12-11,10,38642943.4,2023-12-11,2023-12-11
WVE,2023-12-11,5,56500000.0,2023-12-07,2023-12-11
HI,2023-12-12,3,473675.13,2023-11-30,2023-12-12
CTSO,2023-12-13,3,200000.08,2023-12-13,2023-12-13
SCND,2023-12-13,3,1307260.0,2023-12-13,2023-12-13
IGMS,2023-12-13,6,20189334.06,2023-12-13,2023-12-13
WBD,2023-12-14,4,499600000.0,2023-12-14,2023-12-14
LQDA,2023-12-14,4,18999997.96,2023-12-14,2023-12-14
PRKA,2023-12-14,4,16012700.0,2023-12-14,2023-12-14
VRCA,2023-12-15,3,20825148.93,2023-12-15,2023-12-15
LPSN,2023-12-18,4,24984524.12,2023-12-18,2023-12-18
HRTG,2023-12-19,8,6799973.26,2023-12-14,2023-12-19
DLTR,2023-12-19,3,297845630.79,2023-12-19,2023-12-19
STCN,2023-12-20,8,572946.48,2023-12-20,2023-12-20
ADC,2023-12-20,3,1070680.5,2023-12-11,2023-12-20
WHLR,2023-12-20,6,310969.68,2023-12-20,2023-12-20
ATXS,2023-12-21,4,18352000.0,2023-12-21,2023-12-21
SNDA,2023-12-21,3,8058900.0,2023-12-21,2023-12-21
ATHA,2023-12-27,3,4388685.48,2023-12-27,2023-12-27
KALV,2023-12-27,7,45259549.65,2023-12-27,2023-12-27
STAA,2024-01-03,3,19438605.21,2024-01-03,2024-01-03
ZIVO,2024-01-03,4,4747749.6,2023-12-29,2024-01-03
OPK,2024-01-04,3,2830508.7,2024-01-04,2024-01-04
ECAT,2024-01-05,3,95542523.04,2023-12-07,2024-01-05
NBBK,2024-01-05,3,319951.0,2023-12-28,2024-01-05
SNMP,2024-01-08,13,27759495.4,2024-01-08,2024-01-08
EYPT,2024-01-09,3,51153300.0,2024-01-09,2024-01-09
SLDB,2024-01-11,9,100444995.56,2024-01-11,2024-01-11
CELU,2024-01-12,3,16058237.25,2024-01-12,2024-01-12
