ticker,cluster_date,n_insiders,total_value,window_start,window_end,year
ZD,2023-05-31,3,765310.0,2023-05-30,2023-05-31,2023
LXRX,2023-06-05,10,722151300.0,2023-06-05,2023-06-05,2023
AAP,2023-06-07,3,700706.35,2023-06-07,2023-06-07,2023
GME,2023-06-09,4,20338511.16,2023-06-09,2023-06-09,2023
DAWN,2023-06-09,4,39999960.0,2023-06-09,2023-06-09,2023
UTI,2023-06-21,5,10260689.25,2023-06-21,2023-06-21,2023
KGS,2023-07-03,3,576000.0,2023-07-03,2023-07-03,2023
APGE,2023-07-13,7,329749952.0,2023-07-13,2023-07-13,2023
SVRA,2023-07-17,13,12999987.0,2023-07-17,2023-07-17,2023
MLKN,2023-07-18,3,399208.8,2023-07-17,2023-07-18,2023
HPK,2023-07-19,8,92967525.0,2023-07-19,2023-07-19,2023
JANX,2023-07-19,5,30838998.4,2023-07-19,2023-07-19,2023
SYM,2023-07-23,8,4000000012.8,2023-07-23,2023-07-23,2023
ADC,2023-08-02,3,3258225.45,2023-08-02,2023-08-02,2023
WLDN,2023-08-03,3,23259447.21,2023-08-03,2023-08-03,2023
ZBRA,2023-08-07,3,1508453.0,2023-08-03,2023-08-07,2023
BLFS,2023-08-09,4,3086952.0,2023-08-09,2023-08-09,2023
EMBC,2023-08-10,3,311076.5,2023-08-10,2023-08-10,2023
BVS,2023-08-10,3,2899682.85,2023-08-10,2023-08-10,2023
TNGX,2023-08-11,5,12231250.0,2023-08-11,2023-08-11,2023
HTLD,2023-08-15,5,7005098.8,2023-08-08,2023-08-15,2023
TSHA,2023-08-16,4,16020000.0,2023-08-16,2023-08-16,2023
HHH,2023-08-16,3,3672112.8,2023-08-16,2023-08-16,2023
HASI,2023-08-18,3,421550.0,2023-08-18,2023-08-18,2023
MRCY,2023-08-18,4,4329922.15,2023-08-18,2023-08-18,2023
FYBR,2023-08-22,42,151485373.82,2023-08-22,2023-08-22,2023
PIII,2023-08-24,4,1058400.0,2023-08-24,2023-08-24,2023
INBX,2023-08-28,6,59399894.7,2023-08-28,2023-08-28,2023
SPRY,2023-08-29,9,128650000.0,2023-08-29,2023-08-29,2023
DCOM,2023-08-30,8,39664055.76,2023-08-30,2023-08-30,2023
STAA,2023-09-05,4,23703361.32,2023-08-07,2023-09-05,2023
SWX,2023-09-08,3,23546841.09,2023-09-08,2023-09-08,2023
DNTH,2023-09-11,3,815039.61,2023-09-11,2023-09-11,2023
OLMA,2023-09-12,11,155055153.1,2023-09-12,2023-09-12,2023
NUVB,2023-09-19,6,40269096.0,2023-09-19,2023-09-19,2023
REPX,2023-09-19,3,9075000.0,2023-09-19,2023-09-19,2023
CART,2023-09-19,8,1380720.0,2023-09-19,2023-09-19,2023
HHH,2023-09-21,3,17930487.51,2023-09-21,2023-09-21,2023
SLNO,2023-09-26,3,45065085.51,2023-09-26,2023-09-26,2023
COTY,2023-10-02,4,102600000.0,2023-09-28,2023-10-02,2023
MLTX,2023-10-02,6,100800739.8,2023-10-02,2023-10-02,2023
BHVN,2023-10-05,4,20902103.69,2023-10-04,2023-10-05,2023
SRRK,2023-10-12,8,120694258.8,2023-10-12,2023-10-12,2023
TNGX,2023-10-13,5,87225000.0,2023-10-13,2023-10-13,2023
ATXS,2023-10-16,4,27982792.32,2023-10-16,2023-10-16,2023
ACHR,2023-10-16,6,419635014.72,2023-10-16,2023-10-16,2023
ACDC,2023-10-17,3,32913690.12,2023-10-17,2023-10-17,2023
DAWN,2023-10-18,4,59919969.84,2023-10-18,2023-10-18,2023
BLFS,2023-10-19,4,41499905.4,2023-10-19,2023-10-19,2023
ARQT,2023-10-24,5,1000000.0,2023-10-24,2023-10-24,2023
NTRS,2023-10-24,3,1711192.5,2023-10-23,2023-10-24,2023
CFFN,2023-10-27,3,258192.98,2023-10-27,2023-10-27,2023
LC,2023-10-31,12,623100.0,2023-10-31,2023-10-31,2023
TEX,2023-10-31,3,437369.3,2023-10-27,2023-10-31,2023
KYMR,2023-11-02,10,53005907.7,2023-11-02,2023-11-02,2023
BALY,2023-11-03,4,530170.0,2023-11-03,2023-11-03,2023
MKL,2023-11-03,3,297468.72,2023-11-03,2023-11-03,2023
AEVA,2023-11-09,3,43143346.98,2023-11-09,2023-11-09,2023
TXO,2023-11-10,4,8581564.0,2023-11-10,2023-11-10,2023
RXO,2023-11-13,7,19910072.98,2023-11-09,2023-11-13,2023
MDGL,2023-11-13,6,93471062.52,2023-11-13,2023-11-13,2023
JANX,2023-11-13,5,24943214.9,2023-11-13,2023-11-13,2023
TKO,2023-11-14,5,2849817.6,2023-11-14,2023-11-14,2023
BW,2023-11-14,5,790077.12,2023-11-14,2023-11-14,2023
PCT,2023-11-14,3,438094.32,2023-11-10,2023-11-14,2023
HG,2023-11-14,6,15249990.0,2023-11-14,2023-11-14,2023
HTLD,2023-11-27,5,2881063.72,2023-11-20,2023-11-27,2023
KYN,2023-11-28,5,18023388.44,2023-11-28,2023-11-28,2023
EYPT,2023-12-04,3,125622451.65,2023-12-04,2023-12-04,2023
OLMA,2023-12-06,4,4640000.0,2023-12-06,2023-12-06,2023
WVE,2023-12-11,4,20000000.0,2023-12-11,2023-12-11,2023
BH,2023-12-11,3,6395021.79,2023-12-11,2023-12-11,2023
WBD,2023-12-14,4,499600000.0,2023-12-14,2023-12-14,2023
LQDA,2023-12-14,4,18999997.96,2023-12-14,2023-12-14,2023
DLTR,2023-12-19,3,297845630.79,2023-12-19,2023-12-19,2023
ATXS,2023-12-21,4,18352000.0,2023-12-21,2023-12-21,2023
SNDA,2023-12-21,3,8058900.0,2023-12-21,2023-12-21,2023
KALV,2023-12-27,7,45259549.65,2023-12-27,2023-12-27,2023
KALV,2024-01-03,7,5043801.28,2024-01-03,2024-01-03,2024
STAA,2024-01-03,3,19438605.21,2024-01-03,2024-01-03,2024
OPK,2024-01-04,3,2830508.7,2024-01-04,2024-01-04,2024
EYPT,2024-01-09,3,51153300.0,2024-01-09,2024-01-09,2024
SLDB,2024-01-11,9,100444995.56,2024-01-11,2024-01-11,2024
VRDN,2024-01-22,5,49999950.0,2024-01-22,2024-01-22,2024
EWTX,2024-01-23,4,19999980.0,2024-01-23,2024-01-23,2024
CGON,2024-01-29,6,80999983.0,2024-01-29,2024-01-29,2024
COLB,2024-01-29,3,325606.1,2024-01-29,2024-01-29,2024
DCOM,2024-01-30,7,4357948.0,2024-01-30,2024-01-30,2024
AVBP,2024-01-30,8,67999932.0,2024-01-30,2024-01-30,2024
ATXS,2024-02-01,4,119998086.0,2024-02-01,2024-02-01,2024
RXO,2024-02-02,6,90812016.0,2024-02-02,2024-02-02,2024
WOLF,2024-02-02,3,1027807.5,2024-02-02,2024-02-02,2024
ANRO,2024-02-06,6,38722000.0,2024-02-06,2024-02-06,2024
SANA,2024-02-08,15,149999932.5,2024-02-08,2024-02-08,2024
MRCY,2024-02-09,5,37868848.01,2024-02-09,2024-02-09,2024
EG,2024-02-09,4,947979.55,2024-02-09,2024-02-09,2024
PRME,2024-02-15,12,240000000.0,2024-02-15,2024-02-15,2024
GTES,2024-02-16,3,12948897.0,2024-02-16,2024-02-16,2024
CART,2024-02-20,26,1614313406.44,2024-02-20,2024-02-20,2024
FCNCA,2024-02-20,3,2656276.7,2024-02-20,2024-02-20,2024
IOVA,2024-02-20,3,48330300.0,2024-02-20,2024-02-20,2024
