ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
PRDS,2021-12-23,5,16250000.0,2021-12-23,2021-12-23,1.2441313884148282,1.2658601468253532,17.959999084472656
BRN,2021-12-23,3,1755136.98,2021-12-23,2021-12-23,1.2441313884148282,1.2658601468253532,17.959999084472656
TMC,2021-12-28,3,3090704.0,2021-12-28,2021-12-28,4.811207600287797,2.5666802487525633,17.540000915527344
PFMT,2021-12-29,5,6111237.2,2021-12-29,2021-12-29,3.1140645800417985,3.4093264938437935,16.950000762939453
CTLP,2021-12-29,3,2580595.83,2021-12-29,2021-12-29,3.1140645800417985,3.4093264938437935,16.950000762939453
BBIO,2022-01-03,5,2064407.53,2021-12-30,2022-01-03,0.09428713503219184,3.879374657718064,16.600000381469727
PTPI,2022-01-03,5,2500006.95,2022-01-03,2022-01-03,0.09428713503219184,3.879374657718064,16.600000381469727
BDSX,2022-01-04,3,11303340.15,2022-01-04,2022-01-04,0.14260466494518056,4.960673271711185,16.90999984741211
WTMAU,2022-01-05,3,10425000.0,2022-01-05,2022-01-05,-1.9058432988193184,1.1488720901028477,19.729999542236328
CODI,2022-01-05,6,618442.88,2022-01-05,2022-01-05,-1.9058432988193184,1.1488720901028477,19.729999542236328
BATRA,2022-01-05,4,228800.0,2022-01-05,2022-01-05,-1.9058432988193184,1.1488720901028477,19.729999542236328
OSAT,2022-01-06,5,2600012.52,2022-01-06,2022-01-06,-1.7263155348763393,0.05344821575509801,19.610000610351562
RAIN,2022-01-10,10,66927360.0,2022-01-10,2022-01-10,-2.553851167199103,-2.461971985265449,19.399999618530273
AMLX,2022-01-10,4,829958.0,2022-01-10,2022-01-10,-2.553851167199103,-2.461971985265449,19.399999618530273
AKU,2022-01-11,9,1120500.0,2022-01-11,2022-01-11,-1.633347159585776,-1.4930717238849145,18.40999984741211
AVTX,2022-01-11,3,1888806.09,2022-01-11,2022-01-11,-1.633347159585776,-1.4930717238849145,18.40999984741211
VIGL,2022-01-11,17,174790000.0,2022-01-11,2022-01-11,-1.633347159585776,-1.4930717238849145,18.40999984741211
BBBY,2022-01-11,4,457210.0,2022-01-11,2022-01-11,-1.633347159585776,-1.4930717238849145,18.40999984741211
