ticker,cluster_date,n_insiders,total_value,window_start,window_end,year,sector
ANNX,2023-05-25,4,2556000.0,2023-05-25,2023-05-25,2023,Healthcare
ZD,2023-05-31,3,765310.0,2023-05-30,2023-05-31,2023,Communication Services
LXRX,2023-06-05,10,722151300.0,2023-06-05,2023-06-05,2023,Healthcare
AAP,2023-06-07,3,700706.35,2023-06-07,2023-06-07,2023,Consumer Cyclical
GME,2023-06-09,4,20338511.16,2023-06-09,2023-06-09,2023,Consumer Cyclical
DAWN,2023-06-09,4,39999960.0,2023-06-09,2023-06-09,2023,Healthcare
UTI,2023-06-21,5,10260689.25,2023-06-21,2023-06-21,2023,Consumer Defensive
KGS,2023-07-03,3,576000.0,2023-07-03,2023-07-03,2023,Energy
APGE,2023-07-13,7,329749952.0,2023-07-13,2023-07-13,2023,Healthcare
SVRA,2023-07-17,13,12999987.0,2023-07-17,2023-07-17,2023,Healthcare
MLKN,2023-07-18,3,399208.8,2023-07-17,2023-07-18,2023,Consumer Cyclical
HPK,2023-07-19,8,92967525.0,2023-07-19,2023-07-19,2023,Energy
JANX,2023-07-19,5,30838998.4,2023-07-19,2023-07-19,2023,Healthcare
SYM,2023-07-23,8,4000000012.8,2023-07-23,2023-07-23,2023,Industrials
ADC,2023-08-02,3,3258225.45,2023-08-02,2023-08-02,2023,Real Estate
WLDN,2023-08-03,3,23259447.21,2023-08-03,2023-08-03,2023,Industrials
ZBRA,2023-08-07,3,1508453.0,2023-08-03,2023-08-07,2023,Technology
BLFS,2023-08-09,4,3086952.0,2023-08-09,2023-08-09,2023,Healthcare
EMBC,2023-08-10,3,311076.5,2023-08-10,2023-08-10,2023,Healthcare
BVS,2023-08-10,3,2899682.85,2023-08-10,2023-08-10,2023,Healthcare
TNGX,2023-08-11,5,12231250.0,2023-08-11,2023-08-11,2023,Healthcare
HTLD,2023-08-15,5,7005098.8,2023-08-08,2023-08-15,2023,Industrials
TSHA,2023-08-16,4,16020000.0,2023-08-16,2023-08-16,2023,Healthcare
HHH,2023-08-16,3,3672112.8,2023-08-16,2023-08-16,2023,Real Estate
HASI,2023-08-18,3,421550.0,2023-08-18,2023-08-18,2023,Financial Services
MRCY,2023-08-18,4,4329922.15,2023-08-18,2023-08-18,2023,Industrials
FYBR,2023-08-22,42,151485373.82,2023-08-22,2023-08-22,2023,Communication Services
PIII,2023-08-24,4,1058400.0,2023-08-24,2023-08-24,2023,Healthcare
INBX,2023-08-28,6,59399894.7,2023-08-28,2023-08-28,2023,Healthcare
SPRY,2023-08-29,9,128650000.0,2023-08-29,2023-08-29,2023,Healthcare
DCOM,2023-08-30,8,39664055.76,2023-08-30,2023-08-30,2023,Financial Services
STAA,2023-09-05,4,23703361.32,2023-08-07,2023-09-05,2023,Healthcare
SWX,2023-09-08,3,23546841.09,2023-09-08,2023-09-08,2023,Utilities
DNTH,2023-09-11,3,815039.61,2023-09-11,2023-09-11,2023,Healthcare
OLMA,2023-09-12,11,155055153.1,2023-09-12,2023-09-12,2023,Healthcare
NUVB,2023-09-19,6,40269096.0,2023-09-19,2023-09-19,2023,Healthcare
REPX,2023-09-19,3,9075000.0,2023-09-19,2023-09-19,2023,Energy
CART,2023-09-19,8,1380720.0,2023-09-19,2023-09-19,2023,Consumer Cyclical
HHH,2023-09-21,3,17930487.51,2023-09-21,2023-09-21,2023,Real Estate
SLNO,2023-09-26,3,45065085.51,2023-09-26,2023-09-26,2023,Healthcare
COTY,2023-10-02,4,102600000.0,2023-09-28,2023-10-02,2023,Consumer Defensive
MLTX,2023-10-02,6,100800739.8,2023-10-02,2023-10-02,2023,Healthcare
BHVN,2023-10-05,4,20902103.69,2023-10-04,2023-10-05,2023,Healthcare
SRRK,2023-10-12,8,120694258.8,2023-10-12,2023-10-12,2023,Healthcare
TNGX,2023-10-13,5,87225000.0,2023-10-13,2023-10-13,2023,Healthcare
ATXS,2023-10-16,4,27982792.32,2023-10-16,2023-10-16,2023,Healthcare
ACHR,2023-10-16,6,419635014.72,2023-10-16,2023-10-16,2023,Industrials
ACDC,2023-10-17,3,32913690.12,2023-10-17,2023-10-17,2023,Energy
